,Unnamed: 0,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),TOTAL SCHOOLS (PREP),TOTAL STUDENTS (PRESTD),TOTAL  TEACHERS: MALE  (PMTCH),TOTAL  TEACHERS: FEMALE  (PFTCH),BLIND (BLC1),LOW VISION (LVC1),HEARING IMPAIRMENT (HEC1),SPEECH IMPAIRMENT (SPC1),LOCOMOTOR IMPAIRMENT (LOC1),MENTAL RETARDATION (MEC1),LEARNING DISABILITY (LEC1),CEREBRAL PALSY (CPC1),AUTISM (AUC1),MULTIPLE (MUC1)
31,31,2015-16,HIMACHAL PRADESH,SIRMAUR,530164.0,15.61,915.0,79.98,72.55,86.76,2825.0,110,5980,502,1234,0,80,46,54,113,96,56,22,12,65
32,32,2015-16,HIMACHAL PRADESH,SHIMLA,813384.0,12.58,916.0,84.55,77.8,90.73,5131.0,331,13571,1180,3007,14,366,94,203,179,109,516,12,14,165
33,33,2015-16,HIMACHAL PRADESH,KINNAUR,84298.0,7.61,818.0,80.77,71.34,88.37,6401.0,55,1466,126,260,0,32,7,13,22,12,15,0,0,31
34,34,2015-16,PUNJAB,GURDASPUR,2299026.0,9.3,895.0,81.06,75.73,85.9,3551.0,389,35794,1299,6782,28,1199,349,323,366,931,1313,198,14,269
35,35,2015-16,PUNJAB,AMRITSAR,2490891.0,15.48,884.0,77.2,72.75,81.2,2683.0,730,66022,151,406,23,1704,310,441,526,1795,1359,112,29,239
36,36,2015-16,PUNJAB,KAPURTHALA,817668.0,8.37,912.0,80.18,75.36,84.6,1633.0,232,22158,622,3599,1,1177,153,148,212,1345,1,72,7,159
37,37,2015-16,PUNJAB,JALANDHAR,2181753.0,11.16,913.0,82.4,78.31,86.1,2624.0,582,55241,158,384,9,3071,181,297,259,947,247,123,17,273
38,38,2015-16,PUNJAB,HOSHIARPUR,1582793.0,6.85,962.0,85.43,80.78,89.9,3386.0,393,34588,1110,5966,7,2420,217,371,292,1338,833,226,5,167
39,39,2015-16,PUNJAB,NAWANSHAHR,614362.0,4.58,954.0,80.33,74.28,86.2,1282.0,162,14137,437,2138,15,463,144,145,147,427,67,30,24,90
40,40,2015-16,PUNJAB,RUPNAGAR,683349.0,8.67,913.0,83.28,77.17,88.9,1356.0,141,14747,64,118,10,803,135,264,195,518,725,51,1,224
