,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM)
61,UTTARAKHAND,DEHRADUN,1698560.0,32.48,902.0,85.24,79.61,90.32,3088.0
62,UTTARAKHAND,GARHWAL,686527.0,-1.51,1103.0,82.59,73.26,93.18,5329.0
63,UTTARAKHAND,PITHORAGARH,485993.0,5.13,1021.0,82.93,72.97,93.45,7090.0
64,UTTARAKHAND,BAGESHWAR,259840.0,5.13,1093.0,80.69,69.59,93.2,2241.0
65,UTTARAKHAND,ALMORA,621927.0,-1.73,1142.0,81.06,70.44,93.57,3144.0
66,UTTARAKHAND,CHAMPAWAT,259315.0,15.49,981.0,80.73,68.81,92.65,1766.0
67,UTTARAKHAND,NAINITAL,955128.0,25.2,933.0,84.85,78.21,91.09,4251.0
68,UTTARAKHAND,UDHAM SINGH NAGAR,1648367.0,33.4,919.0,74.44,65.73,82.48,2542.0
69,UTTARAKHAND,HARDWAR,1927029.0,33.16,879.0,74.62,65.96,82.26,2360.0
70,HARYANA,PANCHKULA,558890.0,19.32,870.0,83.44,77.48,88.65,898.0
71,HARYANA,AMBALA,1136784.0,12.06,882.0,82.89,76.64,88.47,1574.0
72,HARYANA,YAMUNANAGAR,1214162.0,16.56,877.0,78.93,71.99,85.06,1768.0
73,HARYANA,KURUKSHETRA,964231.0,16.81,889.0,76.7,69.18,83.46,1530.0
74,HARYANA,KAITHAL,1072861.0,13.39,880.0,70.56,60.69,79.33,2317.0
75,HARYANA,KARNAL,1506323.0,18.22,886.0,76.44,68.29,83.73,2520.0
76,HARYANA,PANIPAT,1202811.0,24.33,861.0,77.46,68.23,85.45,1268.0
77,HARYANA,SONIPAT,1480080.0,15.71,853.0,80.83,70.88,89.4,2122.0
78,HARYANA,JIND,1332042.0,11.95,870.0,72.73,61.58,82.49,2702.0
79,HARYANA,FATEHABAD,941522.0,16.79,903.0,69.13,59.29,78.1,2538.0
