STATE NAME,DISTRICT NAME,TOTAL POPULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,AREA
RAJASTHAN,BHILWARA,2410459.0,19.7,969.0,62.71,10455.0
MADHYA PRADESH,BHIND,1703562.0,19.25,838.0,76.59,4459.0
HARYANA,BHIWANI,1629109.0,14.32,884.0,76.74,4778.0
BIHAR,BHOJPUR,2720155.0,21.27,900.0,72.79,2395.0
MADHYA PRADESH,BHOPAL,2368145.0,28.46,911.0,82.26,2772.0
KARNATAKA,BIDAR,1700018.0,13.16,952.0,71.01,5448.0
CHHATTISGARH,BIJAPUR,,,,,8530.0
UTTAR PRADESH,BIJNOR,3683896.0,17.64,913.0,70.43,4561.0
RAJASTHAN,BIKANER,2367745.0,41.42,903.0,65.92,30239.0
CHHATTISGARH,BILASPUR,2662077.0,33.21,972.0,71.59,8272.0
HIMACHAL PRADESH,BILASPUR,382056.0,12.08,981.0,85.67,1167.0
WEST BENGAL,BIRBHUM,3502387.0,16.15,956.0,70.9,4545.0
MANIPUR,BISHNUPUR,240363.0,15.36,1000.0,76.35,496.0
JHARKHAND,BOKARO,2061918.0,15.99,916.0,73.48,2883.0
ASSAM,BONGAIGAON,732639.0,19.58,961.0,70.44,1093.0
GUJARAT,BOTAD,,,,,
ODISHA,BOUDH,1506522.0,12.95,981.0,83.25,3098.0
UTTAR PRADESH,BUDAUN,3712738.0,20.96,859.0,52.91,5168.0
JAMMU AND KASHMIR,BUDGAM,735753.0,21.18,883.0,57.98,1361.0
UTTAR PRADESH,BULANDSHAHR,3498507.0,20.09,892.0,70.23,4512.0
MAHARASHTRA,BULDHANA,2588039.0,15.93,928.0,82.09,9661.0
RAJASTHAN,BUNDI,1113725.0,15.7,922.0,62.31,5776.0
MADHYA PRADESH,BURHANPUR,756993.0,19.23,951.0,65.28,3427.0
BIHAR,BUXAR,1707643.0,21.77,922.0,71.77,1703.0
ASSAM,CACHAR,1736319.0,20.17,958.0,80.36,3786.0
KARNATAKA,CHAMARAJANAGARA,1020962.0,5.75,989.0,61.12,5648.0
HIMACHAL PRADESH,CHAMBA,518844.0,12.58,989.0,73.19,6522.0
UTTARAKHAND,CHAMOLI,391114.0,5.6,1021.0,83.48,8030.0
UTTARAKHAND,CHAMPAWAT,259315.0,15.49,981.0,80.73,1766.0
MIZORAM,CHAMPHAI,125370.0,15.66,981.0,93.51,3185.0
UTTAR PRADESH,CHANDAULI,1952713.0,18.83,913.0,73.86,2541.0
MANIPUR,CHANDEL,144028.0,21.72,932.0,70.85,3313.0
CHANDIGARH,CHANDIGARH,1054686.0,17.1,818.0,86.43,114.0
MAHARASHTRA,CHANDRAPUR,2194262.0,5.95,959.0,81.35,11443.0
ARUNACHAL PRADESH,CHANGLANG,147951.0,17.96,914.0,61.9,4662.0
JHARKHAND,CHATRA,1042304.0,28.98,951.0,62.14,3718.0
TAMIL NADU,CHENNAI,4681087.0,7.77,986.0,90.33,175.0
MADHYA PRADESH,CHHATARPUR,1762857.0,19.54,884.0,64.9,8687.0
MADHYA PRADESH,CHHINDWARA,2090306.0,13.03,966.0,72.21,11815.0
GUJARAT,CHHOTA UDAIPUR,,,,,
KARNATAKA,CHIKKABALLAPURA,1254377.0,9.17,968.0,70.08,4244.0
KARNATAKA,CHIKKAMANGALURU,1137753.0,-0.28,1005.0,79.24,7202.0
ASSAM,CHIRANG,481818.0,11.26,969.0,64.71,1923.0
KARNATAKA,CHITRADURGA,1660378.0,9.39,969.0,73.82,8436.0
UTTAR PRADESH,CHITRAKOOT,990626.0,29.29,879.0,66.52,3216.0
ANDHRA PRADESH,CHITTOOR,4170468.0,11.33,1002.0,72.36,15152.0
RAJASTHAN,CHITTORGARH,1544392.0,16.09,970.0,62.51,7822.0
MANIPUR,CHURACHANDPUR,271274.0,19.03,969.0,84.29,4570.0
RAJASTHAN,CHURU,2041172.0,6.1,938.0,67.46,13835.0
TAMIL NADU,COIMBATORE,3472578.0,18.46,1001.0,84.31,4732.0
WEST BENGAL,COOCH BEHAR,2822780.0,13.86,942.0,75.49,3387.0
TAMIL NADU,CUDDALORE,2600880.0,13.8,984.0,79.04,3703.0
ODISHA,CUTTACK,2618708.0,11.86,955.0,84.2,3932.0
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,342853.0,55.5,775.0,77.65,491.0
GUJARAT,DAHOD,2126558.0,29.95,986.0,60.6,3642.0
WEST BENGAL,DAKSHIN DINAJPUR,1670931.0,11.16,954.0,73.86,2219.0
KARNATAKA,DAKSHINA KANNADA,2083625.0,9.8,1018.0,88.62,4861.0
DAMAN AND DIU,DAMAN,190855.0,67.43,533.0,88.06,72.0
MADHYA PRADESH,DAMOH,1263703.0,16.58,913.0,70.92,7306.0
GUJARAT,DANG,226769.0,21.44,1007.0,76.8,1766.0
CHHATTISGARH,DANTEWADA,532791.0,11.9,1022.0,42.67,8298.0
BIHAR,DARBHANGA,3921971.0,19.0,910.0,58.26,2279.0
WEST BENGAL,DARJEELING,1842034.0,14.47,971.0,79.92,3149.0
ASSAM,DARRANG,908090.0,19.51,923.0,64.55,1585.0
MADHYA PRADESH,DATIA,786375.0,18.4,875.0,73.5,2902.0
KARNATAKA,DAVANAGERE,1946905.0,8.71,967.0,76.3,5924.0
UTTARAKHAND,DEHRADUN,1698560.0,32.48,902.0,85.24,3088.0
DELHI,DELHI,16753235.0,,864.0,86.73,1483.0
ODISHA,DEOGARH,312164.0,13.88,976.0,73.07,2940.0
JHARKHAND,DEOGHAR,1491879.0,28.02,921.0,66.34,2477.0
UTTAR PRADESH,DEORIA,3098637.0,14.23,1013.0,73.53,2540.0
GUJARAT,DEVBHUMI DWARKA,,,,,
MADHYA PRADESH,DEWAS,1563107.0,19.48,941.0,70.53,7020.0
TRIPURA,DHALAI,377988.0,22.78,945.0,86.82,2400.0
CHHATTISGARH,DHAMTARI,799199.0,13.11,1012.0,78.95,4084.0
JHARKHAND,DHANBAD,2682662.0,11.91,908.0,75.71,2040.0
MADHYA PRADESH,DHAR,2184672.0,25.53,961.0,60.57,8153.0
TAMIL NADU,DHARMAPURI,1502900.0,16.04,946.0,64.71,4497.0
KARNATAKA,DHARWAD,1846993.0,15.13,967.0,80.3,4260.0
ASSAM,DHEMAJI,688077.0,20.3,949.0,69.07,3237.0
ODISHA,DHENKANAL,1192948.0,11.82,947.0,79.41,4452.0
RAJASTHAN,DHOLPUR,1207293.0,22.78,845.0,70.14,3033.0
ASSAM,DHUBRI,1948632.0,24.4,952.0,59.36,2176.0
MAHARASHTRA,DHULE,2048781.0,19.96,941.0,74.61,7195.0
ASSAM,DIBRUGARH,1327748.0,12.04,952.0,76.22,3381.0
ASSAM,DIMA HASAO,213529.0,13.53,931.0,78.99,4888.0
NAGALAND,DIMAPUR,379769.0,23.23,916.0,85.44,927.0
TAMIL NADU,DINDIGUL,2161367.0,12.39,998.0,76.85,6036.0
MADHYA PRADESH,DINDORI,704218.0,21.26,1004.0,65.47,7470.0
DAMAN AND DIU,DIU,52056.0,17.73,1030.0,83.36,39.0
JAMMU AND KASHMIR,DODA,409576.0,27.89,922.0,65.97,8912.0
JHARKHAND,DUMKA,1321096.0,19.39,974.0,62.54,3761.0
RAJASTHAN,DUNGARPUR,1388906.0,25.39,990.0,60.78,3770.0
CHHATTISGARH,DURG,3343079.0,18.95,988.0,79.69,8535.0
RAJASTHAN,Dausa,1637226.0,24.31,904.0,69.17,3432.0
BIHAR,EAST CHAMPARAN,5082868.0,29.01,901.0,58.26,3968.0
MEGHALAYA,EAST GARO HILLS,317618.0,26.75,968.0,75.51,2603.0
ANDHRA PRADESH,EAST GODAVARI,5151549.0,5.1,1005.0,71.35,10807.0
ARUNACHAL PRADESH,EAST KAMENG,78413.0,37.14,1012.0,62.48,4134.0
MEGHALAYA,EAST KHASI HILLS,824059.0,24.68,1008.0,84.7,2748.0
ARUNACHAL PRADESH,EAST SIANG,99019.0,13.3,962.0,73.54,3603.0
SIKKIM,EAST SIKKIM,281293.0,14.79,872.0,84.67,954.0
JHARKHAND,EAST SINGHBHUM,2291032.0,15.53,949.0,76.13,3562.0
KERALA,ERNAKULAM,3279860.0,5.6,1028.0,95.68,3063.0
TAMIL NADU,ERODE,2259608.0,12.05,992.0,72.96,5760.0
UTTAR PRADESH,ETAH,1761152.0,12.77,863.0,73.27,2431.0
UTTAR PRADESH,ETAWAH,1579160.0,17.95,867.0,79.99,2311.0
HARYANA,FARIDABAD,1798954.0,31.75,871.0,83.04,741.0
PUNJAB,FARIDKOT,618008.0,12.18,889.0,70.65,1458.0
UTTAR PRADESH,FARRUKHABAD,1887577.0,20.2,874.0,70.57,2181.0
HARYANA,FATEHABAD,941522.0,16.79,903.0,69.13,2538.0
PUNJAB,FATEHGARH SAHIB,599814.0,11.39,871.0,80.33,1180.0
UTTAR PRADESH,FATEHPUR,2632684.0,14.05,900.0,68.78,4152.0
PUNJAB,FEROZEPUR,2026831.0,16.08,893.0,69.85,5305.0
UTTAR PRADESH,FIROZABAD,2496761.0,21.62,867.0,74.6,2407.0
PUNJAB,Fazilka,,,,,0.0
KARNATAKA,GADAG,1065235.0,9.61,978.0,75.18,4657.0
MAHARASHTRA,GADCHIROLI,1071795.0,10.46,975.0,70.55,14412.0
ODISHA,GAJAPATI,575880.0,10.99,1042.0,54.29,4325.0
JAMMU AND KASHMIR,GANDERBAL,297003.0,36.3,869.0,59.99,259.0
GUJARAT,GANDHINAGAR,1387478.0,12.15,920.0,85.78,2140.0
RAJASTHAN,GANGANAGAR,1969520.0,10.06,887.0,70.25,10978.0
ODISHA,GANJAM,3520151.0,11.37,981.0,71.88,8206.0
JHARKHAND,GARHWA,1322387.0,27.71,933.0,62.18,4093.0
CHHATTISGARH,GARIABAND,,,,,0.0
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,1674714.0,39.32,852.0,82.2,1282.0
BIHAR,GAYA,4379383.0,26.08,932.0,66.35,4976.0
UTTAR PRADESH,GHAZIABAD,4661452.0,41.66,878.0,85.0,1179.0
UTTAR PRADESH,GHAZIPUR,3622727.0,19.26,951.0,74.27,3377.0
GUJARAT,GIR SOMNATH,,,,,
JHARKHAND,GIRIDIH,2445203.0,28.33,943.0,65.12,4962.0
GOA,GOA,1457723.0,16.43,1939.0,174.38,3702.0
ASSAM,GOALPARA,1008959.0,22.74,962.0,68.67,1824.0
JHARKHAND,GODDA,1311382.0,25.14,933.0,57.68,2266.0
ASSAM,GOLAGHAT,1058674.0,11.88,961.0,78.31,3502.0
TRIPURA,GOMATI,,,,,0.0
UTTAR PRADESH,GONDA,3431386.0,24.07,922.0,61.16,4003.0
MAHARASHTRA,GONDIA,1322331.0,10.13,996.0,85.41,5234.0
BIHAR,GOPALGANJ,2558037.0,18.83,1015.0,67.04,2033.0
UTTAR PRADESH,GORAKHPUR,4436275.0,17.69,944.0,73.25,3321.0
JHARKHAND,GUMLA,1025656.0,23.21,993.0,66.92,5360.0
MADHYA PRADESH,GUNA,1240938.0,26.91,910.0,65.1,6390.0
ANDHRA PRADESH,GUNTUR,4889230.0,9.5,1003.0,67.99,11391.0
PUNJAB,GURDASPUR,2299026.0,9.3,895.0,81.06,3551.0
HARYANA,GURUGRAM,1514085.0,73.93,853.0,84.44,1258.0
MADHYA PRADESH,GWALIOR,2030543.0,24.41,862.0,77.93,4560.0
ASSAM,HAILAKANDI,659260.0,21.44,946.0,75.26,1327.0
HIMACHAL PRADESH,HAMIRPUR,454293.0,10.08,1096.0,89.01,1118.0
TTAR PRADESH,HAMIRPUR,1104021.0,5.78,860.0,70.16,4021.0
RAJASTHAN,HANUMANGARH,1779650.0,17.24,906.0,68.37,9656.0
UTTAR PRADESH,HAPUR,,,,,0.0
MADHYA PRADESH,HARDA,570302.0,20.21,932.0,74.04,3334.0
UTTAR PRADESH,HARDOI,4091380.0,20.39,856.0,68.89,5986.0
UTTARAKHAND,HARIDWAR,1927029.0,33.16,879.0,74.62,2360.0
KARNATAKA,HASSAN,1776221.0,3.17,1005.0,75.89,6814.0
UTTAR PRADESH,HATHRAS,1565678.0,17.19,870.0,73.1,1840.0
KARNATAKA,HAVERI,1598506.0,11.08,951.0,77.6,4823.0
JHARKHAND,HAZARIBAGH,1734005.0,25.75,946.0,70.48,3555.0
MAHARASHTRA,HINGOLI,1178973.0,19.43,935.0,76.04,4827.0
HARYANA,HISAR,1742815.0,13.38,871.0,73.24,3983.0
WEST BENGAL,HOOGHLY,5520389.0,9.49,958.0,82.55,3149.0
MADHYA PRADESH,HOSHANGABAD,1240975.0,14.45,912.0,76.52,6703.0
PUNJAB,HOSHIARPUR,1582793.0,6.85,962.0,85.43,3386.0
WEST BENGAL,HOWRAH,4841638.0,13.31,935.0,83.85,1467.0
TELANGANA,HYDERABAD,4010238.0,4.71,943.0,80.96,217.0
KERALA,IDUKKI,1107453.0,-1.93,1006.0,92.2,4356.0
MANIPUR,IMPHAL EAST,452661.0,14.63,1011.0,82.81,709.0
MANIPUR,IMPHAL WEST,514683.0,15.82,1029.0,86.7,519.0
MADHYA PRADESH,INDORE,3272335.0,32.71,924.0,82.32,3898.0
MADHYA PRADESH,JABALPUR,2460714.0,14.39,925.0,82.47,5211.0
ODISHA,JAGATSINGHPUR,1136604.0,7.47,967.0,87.13,1668.0
RAJASTHAN,JAIPUR,6663971.0,26.91,909.0,76.44,11143.0
RAJASTHAN,JAISALMER,672008.0,32.22,849.0,58.04,38401.0
ODISHA,JAJPUR,1826275.0,12.43,972.0,80.44,2899.0
PUNJAB,JALANDHAR,2181753.0,11.16,913.0,82.4,2624.0
UTTAR PRADESH,JALAUN,1670718.0,14.87,865.0,75.16,4565.0
MAHARASHTRA,JALGAON,4224442.0,14.71,922.0,79.73,11765.0
MAHARASHTRA,JALNA,1958483.0,21.84,929.0,73.61,7718.0
RAJASTHAN,JALORE,1830151.0,26.31,951.0,55.58,10640.0
WEST BENGAL,JALPAIGURI,3869675.0,13.77,954.0,73.79,6227.0
JAMMU AND KASHMIR,JAMMU,1526406.0,12.48,871.0,83.98,2342.0
GUJARAT,JAMNAGAR,2159130.0,13.38,938.0,74.4,14184.0
JHARKHAND,JAMTARA,790207.0,21.0,959.0,63.73,1811.0
BIHAR,JAMUI,1756078.0,25.54,921.0,62.16,3098.0
CHHATTISGARH,JANJGIR CHAMPA,1620632.0,23.01,986.0,73.7,3853.0
CHHATTISGARH,JASHPUR,852043.0,14.65,1004.0,68.6,5838.0
UTTAR PRADESH,JAUNPUR,4476072.0,14.43,1018.0,73.66,4038.0
BIHAR,JEHANABAD,1124176.0,21.34,918.0,68.27,931.0
MADHYA PRADESH,JHABUA,1024091.0,30.58,989.0,44.45,3600.0
HARYANA,JHAJJAR,956907.0,8.73,861.0,80.83,1834.0
RAJASTHAN,JHALAWAR,1411327.0,19.57,945.0,62.13,6219.0
UTTAR PRADESH,JHANSI,2000755.0,14.66,885.0,76.37,5024.0
ODISHA,JHARSUGUDA,,,,,2114.0
RAJASTHAN,JHUNJHUNU,2139658.0,11.81,950.0,74.72,5928.0
HARYANA,JIND,1332042.0,11.95,870.0,72.73,2702.0
RAJASTHAN,JODHPUR,3685681.0,27.69,915.0,67.09,22850.0
ASSAM,JORHAT,1091295.0,9.21,956.0,83.42,2851.0
GUJARAT,JUNAGADH,2742291.0,12.01,952.0,76.88,8831.0
CHHATTISGARH,KABEERDHAM,822239.0,40.66,997.0,61.95,4235.0
BIHAR,KAIMUR,1626900.0,27.54,919.0,71.01,3332.0
HARYANA,KAITHAL,1072861.0,13.39,880.0,70.56,2317.0
KARNATAKA,KALABURAGI,2564892.0,17.94,962.0,65.65,10954.0
ODISHA,KALAHANDI,1573054.0,17.79,1003.0,60.22,7920.0
ASSAM,KAMRUP,1517202.0,15.67,946.0,72.81,3105.0
ASSAM,KAMRUP METROPOLITAN,1260419.0,18.95,922.0,88.66,955.0
TAMIL NADU,KANCHEEPURAM,3990897.0,38.69,985.0,85.29,4483.0
ODISHA,KANDHAMAL,731952.0,12.92,1037.0,65.12,8021.0
HIMACHAL PRADESH,KANGRA,1507223.0,12.56,1013.0,86.49,5739.0
UTTAR PRADESH,KANNAUJ,1658005.0,19.37,879.0,74.01,2093.0
KERALA,KANNUR,2525637.0,4.84,1133.0,95.41,2961.0
UTTAR PRADESH,KANPUR DEHAT,1795092.0,14.82,862.0,77.52,3021.0
UTTAR PRADESH,KANPUR NAGAR,4572951.0,9.72,852.0,81.31,3155.0
TAMIL NADU,KANYAKUMARI,1863174.0,11.17,1010.0,92.14,1684.0
PUNJAB,KAPURTHALA,817668.0,8.37,912.0,80.18,1633.0
PUDUCHERRY,KARAIKAL,200314.0,17.29,1048.0,87.83,157.0
RAJASTHAN,KARAULI,1458459.0,20.57,858.0,67.34,5524.0
ASSAM,KARBI ANGLONG,965280.0,18.69,956.0,73.52,10434.0
JAMMU AND KASHMIR,KARGIL,143388.0,20.18,775.0,74.49,14036.0
ASSAM,KARIMGANJ,1217002.0,20.74,961.0,79.72,1809.0
TELANGANA,KARIMNAGAR,3811738.0,9.16,1009.0,64.87,11823.0
HARYANA,KARNAL,1506323.0,18.22,886.0,76.44,2520.0
TAMIL NADU,KARUR,1076588.0,15.06,1015.0,75.86,2904.0
KERALA,KASARAGOD,1302600.0,8.18,1079.0,89.85,1989.0
UTTAR PRADESH,KASGANJ,1438156.0,17.05,879.0,62.3,1955.0
JAMMU AND KASHMIR,KATHUA,615711.0,20.38,877.0,73.5,2502.0
BIHAR,KATIHAR,3068149.0,28.23,916.0,53.56,3057.0
MADHYA PRADESH,KATNI,1291684.0,21.38,948.0,73.62,4950.0
UTTAR PRADESH,KAUSHAMBI,1596909.0,23.49,905.0,63.69,1779.0
ODISHA,KENDRAPARA,1439891.0,10.59,1006.0,85.93,2644.0
ODISHA,KENDUJHAR,1802777.0,15.42,987.0,69.0,8303.0
BIHAR,KHAGARIA,1657599.0,29.46,883.0,60.87,1486.0
TELANGANA,KHAMMAM,2798214.0,8.5,1010.0,65.46,16029.0
MADHYA PRADESH,KHANDWA,1309443.0,21.44,944.0,67.53,7352.0
MADHYA PRADESH,KHARGONE,1872413.0,22.81,963.0,63.98,8025.0
GUJARAT,KHEDA,2298934.0,12.81,937.0,84.31,3953.0
ODISHA,KHORDHA,2246341.0,19.65,925.0,87.51,2813.0
TRIPURA,KHOWAI,,,,,0.0
JHARKHAND,KHUNTI,530299.0,21.96,994.0,64.51,2535.0
HIMACHAL PRADESH,KINNAUR,84298.0,7.61,818.0,80.77,6401.0
NAGALAND,KIPHIRE,50593.0,-58.39,903.0,73.1,1130.0
BIHAR,KISHANGANJ,1690948.0,30.44,946.0,57.04,1884.0
JAMMU AND KASHMIR,KISHTWAR,231037.0,21.06,917.0,58.54,1644.0
KARNATAKA,KODAGU,554762.0,1.13,1019.0,82.52,4102.0
JHARKHAND,KODERMA,717169.0,32.59,949.0,68.35,2540.0
NAGALAND,KOHIMA,270063.0,22.66,927.0,85.58,1463.0
ASSAM,KOKRAJHAR,886999.0,5.19,958.0,66.63,3296.0
KARNATAKA,KOLAR,1540231.0,11.04,976.0,74.33,3979.0
MIZORAM,KOLASIB,83054.0,25.92,956.0,94.54,1382.0
MAHARASHTRA,KOLHAPUR,3874015.0,9.96,953.0,82.9,7685.0
WEST BENGAL,KOLKATA,4486679.0,-1.88,899.0,87.14,185.0
KERALA,KOLLAM,2629703.0,1.72,1113.0,93.77,2483.0
CHHATTISGARH,KONDAGAON,,,,,0.0
KARNATAKA,KOPPAL,1391292.0,16.32,983.0,67.28,5570.0
ODISHA,KORAPUT,1376934.0,16.63,1031.0,49.87,8807.0
CHHATTISGARH,KORBA,1206563.0,19.25,971.0,73.22,6598.0
CHHATTISGARH,KORIYA,659039.0,12.4,971.0,71.41,6604.0
RAJASTHAN,KOTA,1950491.0,24.35,906.0,77.48,5217.0
KERALA,KOTTAYAM,1979384.0,1.32,1040.0,96.4,2206.0
KERALA,KOZHIKODE,3089543.0,7.31,1097.0,95.24,2345.0
ARUNACHAL PRADESH,KRA DAADI,,,,,
ANDHRA PRADESH,KRISHNA,4529009.0,8.15,997.0,74.37,8727.0
TAMIL NADU,KRISHNAGIRI,1883731.0,20.67,956.0,72.41,5129.0
JAMMU AND KASHMIR,KULGAM,422786.0,7.3,951.0,60.35,410.0
HIMACHAL PRADESH,KULLU,437474.0,14.65,950.0,80.14,5503.0
JAMMU AND KASHMIR,KUPWARA,875564.0,34.62,843.0,66.92,2379.0
ANDHRA PRADESH,KURNOOL,4046601.0,14.65,984.0,61.13,17658.0
HARYANA,KURUKSHETRA,964231.0,16.81,889.0,76.7,1530.0
ARUNACHAL PRADESH,KURUNG KUMEY,89717.0,111.01,1029.0,50.67,6040.0
UTTAR PRADESH,KUSHINAGAR,3560830.0,23.08,955.0,67.66,2905.0
GUJARAT,KUTCH,2090313.0,32.03,907.0,71.58,45674.0
HIMACHAL PRADESH,LAHAUL AND SPITI,31528.0,-5.1,916.0,77.24,13841.0
ASSAM,LAKHIMPUR,1040644.0,17.06,965.0,78.39,2277.0
UTTAR PRADESH,LAKHIMPUR KHERI,4013634.0,25.14,887.0,62.71,7680.0
BIHAR,LAKHISARAI,1000717.0,24.74,900.0,64.95,1228.0
LAKSHADWEEP,LAKSHADWEEP,64429.0,6.23,946.0,92.28,30.0
UTTAR PRADESH,LALITPUR,1218002.0,24.57,905.0,64.95,5039.0
JHARKHAND,LATEHAR,725673.0,29.38,964.0,61.23,4291.0
